"period","stateid","price","sales"
"2018-09","MI",11.16,"8680.02367"
"2018-09","MN",11.07,"5487.79225"
"2018-09","MO",9.74,"6846.98291"
"2018-09","MS",9.08,"4745.16191"
"2018-09","MT",8.59,"1160.89415"
"2018-09","MTN",9.79,"25524.18584"
"2018-09","NC",9.47,"12261.22925"
"2018-09","ND",9.39,"1533.17022"
"2018-09","NE",9.63,"2477.18073"
"2018-09","NEW",18.08,"10119.67358"
"2018-09","NH",17.07,"938.34799"
"2018-09","NJ",13.46,"6648.19692"
"2018-09","NM",9.5,"2119.03388"
"2018-09","NV",9.21,"3540.45827"
"2018-09","NY",16.04,"14061.58994"
"2018-09","OH",9.57,"12782.78894"
"2018-09","OK",8.4,"5544.49564"
"2018-09","OR",8.73,"3715.77366"
"2018-09","PA",9.89,"13185.21805"
"2018-09","PACC",14.32,"30608.24838"
"2018-09","PACN",25.54,"1275.55663"
"2018-09","RI",19.08,"642.72427"
"2018-09","SAT",9.97,"75957.68206"
"2018-09","SC",9.6,"7445.12573"
"2018-09","SD",10.43,"994.63338"
"2018-09","TN",9.57,"9398.75156"
"2018-09","TX",8.58,"39144.89727"
"2018-09","US",10.66,"337262.54868"
"2018-09","UT",8.4,"2750.87502"
"2018-09","VA",9.48,"10099.1765"
"2018-09","VT",15.05,"453.31305"
"2018-09","WA",7.94,"6580.21587"
"2018-09","WI",10.65,"5782.61722"
"2018-09","WNC",10.12,"25049.04056"
"2018-09","WSC",8.36,"58124.01906"
"2018-09","WV",8.53,"2579.74996"
"2018-09","WY",8.15,"1315.39937"
"2018-08","AK",19.48,"468.88325"
"2018-08","AL",9.91,"8655.22967"
"2018-08","AR",7.95,"4849.8509"
"2018-08","AZ",11.52,"9054.33289"
"2018-08","CA",18.55,"29874.59826"
"2018-08","CO",10.36,"5500.23134"
"2018-08","CT",18.36,"2982.75622"
"2018-08","DC",12.25,"1095.61778"
"2018-08","DE",10.34,"1167.21367"
"2018-08","ENC",10.26,"55129.22606"
"2018-08","ESC",9.39,"30573.50701"
"2018-08","FL",10.14,"23698.63283"
